Northing,Easting,Latitude,Longitude
6712621,514892,60.5493201268924,15.271502572990537
6712963,514072,60.55242029003195,15.256577288703705
6712970,514053,60.55248380375592,15.256231359413187
6713125,512952,60.55391244932418,15.236166943111781
6713149,512678,60.5541366687009,15.231172409166353
6713152,512640,60.554164800959306,15.230479710103646
6713080,511652,60.55354821252037,15.212460277704992
6713073,511625,60.55348614527968,15.211967557772905
6712924,510730,60.55217324667105,15.19564037293745
6712903,510562,60.55198914897282,15.192576124288072
6712893,510482,60.55190145869551,15.191116970458728
6712889,509670,60.55188590115278,15.176311768123949
6712900,509643,60.55198531299621,15.175820019526155
6713113,509156,60.55390911647176,15.166950488519133
6713126,509125,60.55402654163549,15.166385836811218
6713406,508489,60.55655445143218,15.154801035677405
6713667,507894,60.55890996205172,15.143961377692484
6713933,507364,60.561308299249106,15.134305803437892
6713951,507346,60.56147024128368,15.13397818616309
6714409,507063,60.56558745630505,15.128833134640889
